question/0/string,query/sparql
Did Robin Cook attend a university?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { res:Robin_Cook dbo:almaMater ?x . ?x rdf:type dbo:University . }
Did Tony Fry influence Aristotle?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Aristotle dbo:influencedBy res:Tony_Fry . }
Does Por tu amor have more episodes than Game of Thrones?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Por_tu_amor dbo:numberOfEpisodes ?x . res:Game_of_Thrones dbo:numberOfEpisodes ?y . FILTER (?x > ?y) }
Does the Alba River flow into a lake?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { ?x dbo:inflow res:Alba_River . ?x rdf:type dbo:Lake . }
From which region is the Refosco dal Peduncolo Rosso?,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { res:Refosco_dal_Peduncolo_Rosso dbo:wineRegion ?uri . }
Give me all Avant-garde jazz record labels.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri ?string WHERE { ?uri rdf:type dbo:RecordLabel . ?uri dbo:genre res:Avant-garde_jazz . OPTIONAL { ?uri rdfs:label ?string . FILTER (lang(?string) = 'en') } }
Give me all books written by David Foster Wallace.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book . ?uri dbp:author res:David_Foster_Wallace . }
Give me all companies in Jena.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri ?string WHERE { ?uri rdf:type dbo:Company . { ?uri dbo:location res:Jena . } UNION { ?uri dbo:headquarter res:Jena . } UNION { ?uri dbo:locationCity res:Jena . } OPTIONAL { ?uri rdfs:label ?string. FILTER (lang(?string) = 'en') } }
Give me all inflows of the Lake Houston.,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lake_Houston> dbo:inflow ?uri . }
Give me all members of The Who.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri ?string WHERE { res:The_Who dbo:bandMember ?uri . OPTIONAL { ?uri rdfs:label ?string. FILTER (lang(?string) = 'en') } }
Give me all professional skateboarders from Sweden.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri ?string WHERE { ?uri dbo:occupation res:Skateboarding . { ?uri dbo:birthPlace res:Sweden . } UNION { ?uri dbo:birthPlace ?place . ?place dbo:country res:Sweden . } OPTIONAL { ?uri rdfs:label ?string. FILTER (lang(?string) = 'en') } }
Give me the children of David Foster.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?child WHERE { res:David_Foster dbo:child ?child . }
Give me the homepage of Metropolitan Home.,PREFIX res: <http://dbpedia.org/resource/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?string WHERE { res:Metropolitan_Home foaf:homepage ?string . }
How big is the Mammoth Pool Reservoir?,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?area WHERE { <http://dbpedia.org/resource/Mammoth_Pool_Reservoir> dbo:areaTotal ?area . }
How deep is Steinsee?,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Steinsee> dbo:maximumDepth ?n . }
How high is the Doe Hill Mountain?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?num WHERE { res:Doe_Hill_Mountain dbo:elevation ?num. }
How high is the Volcano Mountain?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?num WHERE { res:Volcano_Mountain dbo:elevation ?num. }
How high is the Landegode Lighthouse?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Landegode_Lighthouse dbo:height ?num . }
How many employees does Staedtler have?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?number WHERE { res:Staedtler dbo:numberOfEmployees ?number . }
How many ethnic groups live in Spain?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { res:Spain dbo:ethnicGroup ?uri . }
How many inhabitants does Nagamangala have?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?num WHERE { res:Nagamangala dbo:populationTotal ?num . }
How many museums does Sofia have?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { ?uri rdf:type dbo:Museum . ?uri dbo:location res:Sofia . }
How many pages does The Man with the Red Tattoo have?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?n WHERE { res:The_Man_with_the_Red_Tattoo dbo:numberOfPages ?n . }
How many people live in the capital of Togo?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?num WHERE { res:Togo dbo:capital ?x . ?x dbo:populationTotal ?num . }
How many politicians graduated from Stanford University?,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { ?uri dbo:profession res:Politician . ?uri dbo:almaMater res:Stanford_University . }
How many scientists graduated from Washburn University?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { ?uri rdf:type dbo:Scientist . ?uri dbo:almaMater res:Washburn_University . }
How many students does the Texas Tech University have?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?num WHERE { res:Texas_Tech_University dbo:numberOfStudents ?num . }
How much did Vanilla Sky cost?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?n WHERE { res:Vanilla_Sky dbo:budget ?n . }
How often did Teresa Mo marry?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { res:Teresa_Mo dbo:spouse ?uri . }
How tall is John Windsor?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?num WHERE { res:John_Windsor dbo:height ?num . }
How tall is Kate Upton?,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?height WHERE { res:Kate_Upton dbo:height ?height . }
In which country is Solaize located?,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { res:Solaize dbo:country ?uri . }
In which country is the Tasman Lake?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Tasman_Lake dbo:country ?uri . }
In which country is the Tiefer See?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri ?string WHERE { res:Tiefer_See dbo:country ?uri . OPTIONAL { ?uri rdfs:label ?string . FILTER (lang(?string) = 'en') } }
In which programming language is QuickTime written?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri ?string WHERE { res:QuickTime dbo:programmingLanguage ?uri . OPTIONAL { ?uri rdfs:label ?string . FILTER (lang(?string) = 'en') } }
Is Campari a beverage?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { res:Campari rdf:type dbo:Beverage . }
Is Lisa Guerrero a model?,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { res:Lisa_Guerrero rdf:type dbo:Model . }
Is Sol Tax a scientist?,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { res:Sol_Tax rdf:type dbo:Scientist . }
